Date,State Name,DistrictName,Average Soilmoisture Level (at 15cm),Average SoilMoisture Volume (at 15cm),Aggregate Soilmoisture Percentage (at 15cm),Volume Soilmoisture percentage (at 15cm),clayey,floamy,sandy,clayskeletal
25-01-2020,Arunachal Pradesh,Tirap,0,322.58,0,31.10549418,0.29950625,0.105552083333333,0.0,0.133483333333333
25-01-2020,Arunachal Pradesh,Kurung Kumey,0,950.02,0,27.35474105,0.479027428571429,0.107082857142857,0.0092651428571428,0.0
25-01-2020,Arunachal Pradesh,East Kameng,0,784.91,0,25.5775302,0.204567231638418,0.433333898305085,0.0141361581920904,0.0
25-01-2020,Arunachal Pradesh,Changlang,0,767.65,0,29.80490242,0.205022842639594,0.369535532994924,0.0,0.0030147208121827
25-01-2020,Arunachal Pradesh,Tawang,0,170.67,0,14.15612186,0.0,0.0,0.0698340206185567,0.0
25-01-2020,Arunachal Pradesh,Lower Dibang Valley,0.02,693.78,0.13,23.80414239,0.0981612676056338,0.539806338028169,0.0025288732394366,0.0
25-01-2020,Arunachal Pradesh,Dibang Valley,0,620.14,0.02,16.30470089,0.0667080519480519,0.0406025974025974,0.0,0.0
25-01-2020,Arunachal Pradesh,Papum Pare,0,546.95,0,28.31146657,,,,
25-01-2020,Arunachal Pradesh,Lower Subansiri,0,340.95,0,26.89425417,0.607903797468354,0.137273417721519,0.0844075949367089,0.0
25-01-2020,Arunachal Pradesh,West Kameng,0.03,516.17,0.35,19.180981,0.0859306930693069,0.20214504950495,0.109259900990099,0.0
25-01-2020,Arunachal Pradesh,East Siang,0,596.68,0,31.15789148,0.0683794117647059,0.671938235294118,0.0,0.0
25-01-2020,Arunachal Pradesh,Upper Siang,0,837.67,0,24.1301581,0.365096226415094,0.0004766037735849,0.0,0.0
25-01-2020,Arunachal Pradesh,Lohit,0.01,510.6,0.06,25.6262019,0.132099193548387,0.5463709677419359,0.0254427419354839,0.0
25-01-2020,Arunachal Pradesh,Anjaw,0,664.26,0,19.92393827,0.0987915966386555,0.0938739495798319,0.0036563025210083,0.0
25-01-2020,Arunachal Pradesh,West Siang,0,1231.75,0.03,30.28625926,0.911572727272727,0.0006945454545454,0.0,0.0
24-01-2020,Arunachal Pradesh,Upper Subansiri,0,807.25,0,24.5621858,0.291949224806202,0.0981441860465116,0.0701286821705425,0.0
24-01-2020,Arunachal Pradesh,Tirap,0,325.32,0,31.36935914,0.29950625,0.105552083333333,0.0,0.133483333333333
24-01-2020,Arunachal Pradesh,Kurung Kumey,0,951.27,0,27.39064094,0.479027428571429,0.107082857142857,0.0092651428571428,0.0
24-01-2020,Arunachal Pradesh,East Kameng,0,794.86,0,25.90184272,0.204567231638418,0.433333898305085,0.0141361581920904,0.0
24-01-2020,Arunachal Pradesh,Changlang,0,778.15,0,30.21275639,0.205022842639594,0.369535532994924,0.0,0.0030147208121827
24-01-2020,Arunachal Pradesh,Tawang,0,170.95,0,14.17919107,0.0,0.0,0.0698340206185567,0.0
24-01-2020,Arunachal Pradesh,Lower Dibang Valley,0.03,700.33,0.15,24.02867434,0.0981612676056338,0.539806338028169,0.0025288732394366,0.0
24-01-2020,Arunachal Pradesh,Dibang Valley,0,623.19,0.02,16.38495892,0.0667080519480519,0.0406025974025974,0.0,0.0
24-01-2020,Arunachal Pradesh,Papum Pare,0,553.81,0,28.6668212,,,,
24-01-2020,Arunachal Pradesh,Lower Subansiri,0,341.25,0,26.9180788,0.607903797468354,0.137273417721519,0.0844075949367089,0.0
