Timestamp,Temperature (C),Humidity (%)
2025-08-12 22:30:54,29.8,78,313
2025-08-12 22:31:35,29.4,78,311
2025-08-12 22:31:45,29.7,78,309
2025-08-12 22:31:55,29.4,78,313
2025-08-12 22:33:38,29.3,78,311
2025-08-12 22:33:48,29.8,78,310
2025-08-12 22:33:58,29.9,78,308
2025-08-12 22:34:09,29.5,78,310
2025-08-12 22:34:29,29.8,78,308
2025-08-12 22:35:00,29.7,78,309
2025-08-12 22:35:10,29.7,78,308
2025-08-12 22:35:21,29.1,78,307
2025-08-12 22:36:02,29.2,78,308
2025-08-12 22:36:53,29.8,78,308
2025-08-12 22:37:03,29.8,78,307
2025-08-12 22:37:14,29.5,78,307
2025-08-12 22:37:24,29.7,78,306
2025-08-12 22:37:34,29.1,78,306
2025-08-12 22:37:44,29.7,78,306
2025-08-12 22:38:05,29.4,78,314
2025-08-12 22:38:36,29.0,78,310
2025-08-12 22:38:46,29.2,78,305
2025-08-12 22:38:56,29.7,78,308
2025-08-12 22:39:07,29.2,78,305
2025-08-12 22:39:17,29.4,78,304
2025-08-12 22:39:48,29.1,78,308
2025-08-12 22:39:58,29.3,78,308
2025-08-12 22:40:19,29.1,78,303
2025-08-12 22:41:10,29.3,78,303
2025-08-12 22:41:41,29.4,78,303
2025-08-12 22:42:01,29.5,78,302
2025-08-12 22:42:11,29.1,77,304
2025-08-12 22:42:53,29.1,78,303
2025-08-12 22:43:03,29.0,78,303
2025-08-12 22:43:13,29.3,78,303
2025-08-12 22:50:33,29.7,78,1023
2025-08-12 22:50:44,29.2,78,1023
2025-08-12 22:50:54,29.5,78,1022
2025-08-12 22:51:14,29.9,78,1023
2025-08-12 22:51:35,29.6,78,1023
2025-08-12 22:52:06,29.6,78,1023
2025-08-12 22:52:16,29.6,78,1023
2025-08-12 22:52:26,30.3,77,1023
2025-08-12 22:52:57,30.1,77,1023
2025-08-12 22:53:07,30.4,77,1023
2025-08-12 22:53:28,30.3,77,1023
2025-08-12 22:53:49,30.7,77,1023
2025-08-12 22:54:09,30.4,77,1023
2025-08-12 22:54:50,30.4,77,1023
2025-08-12 22:55:00,30.7,77,1023
